ID,Title,Author,Year,ISBN,Total
1,To Kill a Mockingbird,Harper Lee,1960,978-0061120084,50
2,1984,George Orwell,1949,978-0451524935,40
3,The Great Gatsby,F. Scott Fitzgerald,1925,978-0743273565,60
4,Moby-Dick,Herman Melville,1851,978-1503280786,3
5,Pride and Prejudice,Jane Austen,1813,"978-1503290563

",55
6,The Catcher in the Rye,J.D. Salinger,1951,978-0316769488,15
7,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,1954,978-0261103573,10
8,The Diary of a Young Girl,Anne Frank,1947,978-0553296983,2
9,Brave New World,Aldous Huxley,1932,978-0060850524,20
10,Fahrenheit 451,Ray Bradbury,1953,"978-1451673319

",5
11,The Hobbit,J.R.R. Tolkien,1937,978-0345339683,4
12,Catch-22,Joseph Heller,1961,978-1451626650,25
13,The Grapes of Wrath,John Steinbeck,1939,978-0143039433,7
14,Animal Farm,George Orwell,1945,978-0451526342,9
15,Crime and Punishment,Fyodor Dostoevsky,1866,978-0486454115,35
16,The Picture of Dorian Gray,Oscar Wilde,1890,978-0141439570,45
17,One Hundred Years of Solitude,Gabriel García Márquez,1967,978-0060883287,1
18, The Road,Cormac McCarthy,2006,978-0307387899,6
19,The Shining,Stephen King,1977,978-0307743657,65
20,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,978-0062316097,3
